column	7_2009
testVal	11198
testVal	363
testVal	833671
testVal	5602
testVal	3625
testVal	838
testVal	3500
testVal	13158
testVal	2638
testVal	1945
testVal	179
testVal	335
testVal	21086
testVal	2863
testVal	570
testVal	24
testVal	4496
testVal	15047
testVal	772
testVal	7064
testVal	2672
testVal	13636
testVal	1560
testVal	968
testVal	1031
testVal	709
testVal	2288
testVal	253
testVal	528
testVal	7446
testVal	9332
testVal	2282
testVal	1766
testVal	2741
testVal	1655
testVal	4726
testVal	3294
testVal	6578
testVal	2844
testVal	47868
testVal	2876
testVal	1047
testVal	11564
testVal	943
testVal	11607
testVal	3243
testVal	2013
testVal	22220
testVal	3836
testVal	854
testVal	116
testVal	6212
testVal	6832
testVal	8340
testVal	18
testVal	3310
testVal	7520
testVal	14396
testVal	8832
testVal	20393
testVal	1780
testVal	150
testVal	9017
testVal	13579
testVal	3860
testVal	8732
testVal	957
testVal	11107
testVal	1938
testVal	219
testVal	1605
testVal	38088
testVal	34123
testVal	7311
testVal	1278
testVal	8931
testVal	2889
testVal	541
testVal	16995
testVal	3733
testVal	1655
testVal	632
testVal	1068
testVal	1985
testVal	10190
testVal	1986
testVal	5432
testVal	3710
testVal	17555
testVal	3099
testVal	3185
testVal	2020
testVal	1075
testVal	2261
testVal	5386
testVal	6014
testVal	1009
testVal	2851
testVal	12773
testVal	863
testVal	59317
testVal	631
testVal	65669
testVal	8736
testVal	379
testVal	4291
testVal	5207
testVal	5841
testVal	1030
testVal	4571
testVal	5982
testVal	3416
testVal	575
testVal	32202
testVal	24368
testVal	147
testVal	15249
testVal	969
testVal	601
testVal	169
testVal	3571
testVal	6837
testVal	22162
testVal	14345
testVal	3326
testVal	16615
testVal	55036
testVal	7273
testVal	147
testVal	6135
testVal	5303
testVal	7040
testVal	8135
testVal	13541
testVal	12270
testVal	8425
testVal	1029
testVal	2091
testVal	4345
testVal	2804240
testVal	893
testVal	3764
testVal	20784
testVal	35732
testVal	6010
testVal	16839
testVal	479
testVal	5335
testVal	5093
testVal	224
testVal	1371
testVal	3376
testVal	4162
testVal	58430
testVal	2564
testVal	14027
testVal	7904
testVal	93909
testVal	38107
testVal	353
testVal	2772
testVal	6099
testVal	8254
testVal	1853
testVal	33598
testVal	1504
testVal	19597
testVal	4587
testVal	4351
testVal	61010
testVal	22348
testVal	344400
testVal	167
testVal	558
testVal	3671
testVal	4318
testVal	113750
testVal	84754
testVal	2609
testVal	49207
testVal	5271
testVal	3170
testVal	1646
testVal	3878
testVal	3532
testVal	12371
testVal	153627
testVal	1441
testVal	2573
testVal	6528
testVal	374231
testVal	13291
testVal	28201
testVal	17
testVal	891
testVal	4718
testVal	352
testVal	2925
testVal	92
testVal	113124
testVal	8311
testVal	44124
